,text,label
0,"Eva Hassett, VP of Savarino Construction Services Corp. answers questions on Buffalo, N.Y. hotel redesign",0
1,"Kylie Jenner Told Ellen DeGeneres She's Proud Of Caitlyn For Being Her True, Authentic Self",1
2,Australian rules football: 2010 Gippsland Football League round 13 - Traralgon defeat Sale,0
3,"Supercross: Stewart wins 4th consecutive Monster Energy event in San Francisco, California",0
4,Wikinews interviews Prince Christopher I of the Principality of Vikesland on his micronation's recent space launch,0
5,This Woman Is Posting Heartbreaking Stories About Mental Health On Instagram To Fight Stigma,1
6,"Jordanian king dissolves parliament, calls for general election two years ahead of schedule",0
7,A Rescue Dog And Her Handler Who Worked At Ground Zero During 9/11 Were Honored With An Amazing Day,1
8,Liberal Democrats defeated in UK elections after alternative vote and councils rejected; Salmond wins historic first majority vote,0
9,19 Times Kendall Jenner And Cara Delevingne's Friendship Was So Perfect It Was Actually Painful,1
10,"This Week's ""Showstopper"" Bake Off Was One Of The Most Nervewracking Television Moments This Year",1
11,"US Highway Administration releases interim report on Boston's Big Dig: press release claims tunnel safe, but report does not",0
12,"The Official Trailer For ""Zoolander 2"" Has Dropped And It Features Benedict Cumberbatch Without Eyebrows",1
13,"The Author Of ""A Series Of Unfortunate Events"" Just Donated $1 Million To Planned Parenthood",1
14,Artists Made These Heartbreaking Posters As Tribute To Child Victims Of The Peshawar School Attack,1
15,"Eurovision '09 competitor Chiara talks about her current song ""What If We"" and her past accolades",0
16,"This Little Girl Singing ""I'm Gonna Love You Through It"" To Her Sick Mom Will Shatter Your Heart",1
17,Government shuts off water to California farms in controversial effort to help threatened species,0
18,Minnesota Department of Health says 'theatre nights' in bars are not exempt from Freedom to Breathe Act,0
19,Florida schools begin to enforce new statewide ban on saggy pants and other revealing attire,0
20,U.S. vice president Joe Biden says positive consensus on same-sex marriage is 'inevitable',0
21,Time To Settle It Once And For All: What's The Best Chocolate Candy You Could Get On Halloween,1
22,"This Dad Had A Brilliant Response For When A ""Small-Minded"" Commented Didn't Approve Of His Son's Costume",1
23,We Know Your Favorite Unexpected Disney Or Pixar Villain Based On Your Favorite Taylor Swift Song,1
24,United Kingdom economy triple dip recession 'to be avoided' says British Chambers of Commerce,0
25,Opposition motions in Australian House of Representatives attempts to bring Government to account on last sitting day of year,0
26,"People Are Obsessed With This ""Mermaid Pillow"" That You Can Change With A Swipe Of Your Hand",1
27,"Two largest known prime numbers discovered just two weeks apart, one qualifies for $100k prize",0
28,UEFA Champions League 2008–09 Qualification: 42 Clubs learn their fate for First and Second Qualifying Rounds,0
29,"To Set An Example Of Brotherhood, Dunkin' Donuts In Pakistan Is Offering Free Meals To Indians",1
30,"Knife-wielding woman arrested after allegedly stabbing four at store in West Hollywood, California",0
31,UN convoy attacked by gunman in Ivory Coast as peacekeeping forces ordered to leave country,0
32,Medvedev asks for resignations from Russian Olympic officials after performance in Vancouver,0
33,"Australian rules football: Gippsland Football League heavyweights clash, Maffra go two games clear",0
34,"A Woman's Viral Video Of Her Heartbreaking Experience With A Cashier Isn't True, Wal-Mart Says",1
35,UK government's Information Commissioner takes enforcement action against Liberal Democrat party for cold calling voters,0
36,The Study Claiming That Blotting Your Pizza Saves Calories Might Have Been A Marketing Campaign,1
37,Common Sense Advisory announces size of worldwide translation and localization market and ranking of top 20 language services companies,0
38,"David Parnes And James Harris Take Our ""Which 'Million Dollar Listing' Agent Are You?"" Quiz",1
39,"A ""Rugrats"" Artist Is ""Bugged"" By People Thinking The Babies Grew Up To Be Really Attractive",1
40,Pakistani Taliban threaten revenge attack after bin Laden death; CIA says retaliation is likely,0
41,"Friendly Reminder that ""Last Christmas"" by Jimmy Eat World Is The Best Christmas Song In Existence",1
42,A Guy Made A Joke About His Car's Tape Player Being For His iPhone And Now The Internet Is Mocking Him,1
43,"Everyone Made The Same ""Mean Girls"" Joke About Kris Jenner At The Victoria's Secret Fashion Show",1
44,"Two people die after contracting H1N1 virus, number of swine flu deaths in Scotland rises to 28",0
45,Australian rules football: Six goal win moves Morwell to second on Gippsland Football League ladder,0
46,This Toddler Headbanging And Air Drumming To His Favourite Band Is The Cutest Thing You'll See Today,1
47,"This Toy Company Re-Created The ""Star Wars"" Trailer Using Their Own Toys And It's Incredible",1
48,Alleged 'rights group' involved with removal of anti-Scientology videos from YouTube doesn't exist; says EFF,0
49,"No bomb threat, hijacking of plane in China's Xinjiang region according to Afghan officials",0
50,This Beluga Whale Totally Stole The Show From Connecticut's Governor During A Press Conference,1
51,"Baby in California born with 12 functioning fingers and toes, in a rare case of polydactylism",0
52,13 Things The Guy Who's Not Bernie Sanders Or Hillary Clinton Looked Like During The #DemDebate,1
53,"This Starbucks Worker Fiercely Dropped It Like It Was Hot To The Weeknd's ""Can't Feel My Face""",1
54,"Wikinews interviews Frank McEnulty, New American Independent Party nominee for President of the United States",0
55,GNU project releases new version of license to allow Wikimedia projects to switch to Creative Commons license,0
56,India's First Transgender Band Just Released Their First Song And It Will Leave You Speechless,1
57,French Open: Stosur and Schiavone to compete in women's final; Nadal to meet Soderling in men's final,0
58,This Little Girl's Reaction To Seeing Her Daddy After The First Day Of School Will Make Your Heart Happy,1
59,Egypt protests: Army say they will not use force on demonstrators as Mubarak announces cabinet,0
60,This Photographer Has Captured Candid Moments In The Lives Of Famous Artists Throughout History,1
61,The People V. O.J. Simpson Reminds Us There Was A Time We Didn't Know Who The Kardashians Were,1
62,Norwegian Academy of Science and Letters awards Belgian mathematician Pierre Deligne with Abel prize of 2013,0
63,This Beautiful Video Explores The Lighter Side Of Being A Member Of The Indian LGBTQ Community,1
64,South Korean presidential candidate promises to legalise non-ActiveX technologies for banking,0
65,Spain issues arrest warrant for three U.S. soldiers accused of killing two journalists in 2003,0
66,"Soldiers in Syria reportedly 'suffocated' while seizing chemicals, weapons in Damascus suburb",0
67,This Indian Soldier Taking Time Out To Share His Lunch With A Squirrel Is The Cutest Thing Ever,1
68,This Superstar Dog Is A World Record Holder For Catching 14 Balls With His Paws In One Minute,1
69,Ice Hockey: Claude Giroux scores overtime goal to lift Flyers to victory in Game 3 of the 2010 Stanley Cup Finals,0
70,U.K. National Portrait Gallery threatens U.S. citizen with legal action over Wikimedia images,0
71,Catholic Democrats tell Chicago Cardinal George not to pull funding from immigration campaigners supporting same-sex marriage,0
72,Jada Pinkett Smith Posted A Baby Photo Of Will For His Birthday And It'll Make You Believe In Love,1
73,Experts raise serious questions over safety of U.S. oil industry and warn another spill may be 'unavoidable',0
74,Libertarian National Committee in fierce deadlock over how to address growing Bob Barr controversies,0
75,"Rachel Platten Sang Her Hit ""Fight Song"" With A Young Cancer Patient And It Will Punch You Right In The Feels",1
76,"Four dead, at least 15 injured after gunman opens fire at fitness center in Bridgeville, Pennsylvania",0
77,"Search for survivors of Canadian helicopter crash ends, recovery mission focuses on victims",0
78,"Swimmer Michael Phelps of the U.S. wins first gold medal of 2008 Summer Olympics, breaks world record",0
79,"Wikinews interviews Scott Lucas, Eyal Zisser, Majid Rafizadeh about risks of US military intervention in Syria",0
80,"Wikinews holds a follow-up interview with Max Riekse, Constitution Party candidate for the 2008 U.S. presidential election",0
81,Baseball player Manny Ramirez retires after testing positive for performance-enhancing drug,0
82,"Which Character From ""The Rocky Horror Picture Show"" Are You Based On Your Taste In Hot Dogs",1
83,Internal audit reveals IRS improperly identified hundreds of thousands of taxpayers as potential frauds,0
84,"Paul Schneider leaving NBC's Parks and Recreation; Rob Lowe, Adam Scott to appear in series",0
